,input,output
648,['Drama'],Summary: A girl ( Sai Tamhankar) stages protest against the system  when cops refuse to lodge a complaint against the 75-year-old Chief Minister  who allegedly raped her. The accused minister ...                    
649,"['Drama', 'Mystery', 'Romance']",Summary: A wine baron (Harsh Chhaya) wants to use a supermodel to launch his new liquor label in the market. He recruits a photographer (Ashmit Patel) to organize a talent hunt in Fiji for the same....                    
650,"['Comedy', 'Drama', 'Romance']",Summary: Self-centered Sriram Venkat changes his outlook and actions when his girlfriend leaves him.
651,"['Adventure', 'Comedy', 'Drama']",Summary: A woman Sudha  before leaving for a month-long holiday  instructs Sumit to regularly feed her pet fish. But when she returns home  she is shocked to see her house in an utter mess. What could have happened?
652,"['Comedy', 'Thriller']",Summary: Jackpot is a fast-paced thriller con  with sharp comic one-liners and crazy characters  set entirely in Goa against the backdrop of casino boats. The film goes back and forth in time  ...                    
653,"['Adventure', 'Thriller']",Summary: A couple is drawn into a game show with a whooping winning prize. However the game turns into more than a survival for them with no escape.
654,"['Action', 'Crime', 'Drama']",Summary: A common man who transforms into a gangster revolts against the very system he once obediently followed by declaring war on the police  the government  and the industrialists.
655,"['Action', 'Thriller']",Summary: When Sahir  a circus entertainer trained in magic and acrobatics  turns into a thief to take down a corrupt bank in Chicago that ruined his father  Indian officers Jai and Ali are called to catch him.
656,"['Comedy', 'Drama']",Summary: When pretty new neighbor Seema falls for their shy roommate Sid  jealous womanizers Omi and Jai plot to break up the new lovebirds.
657,"['Drama', 'Romance']",Summary: An aristocrat's daughter falls in love with a visiting archaeologist  but he holds a secret that could drive them apart.
658,"['Comedy', 'War']",Summary: It is M*A*S*H comes to India and meets bollywood. A situational/satirical comedy  full of funny dialogues and tries to show a new side of war. Starring Javed Jafferi and Sharman Joshi in ...                    
659,"['Comedy', 'Crime']",Summary: Four friends  who have accidentally committed crimes  decide to loot Rs. 20 crore  posing as cops. But on the way  they encounter a real police inspector  who orders them to do an encounter...                    
660,['Horror'],Summary: A hospital finds itself the victim of a string of gruesome murders. Assigned to the case  Detective Vijay Singh enlists the help of a newly recruited female doctor to solve the seemingly supernatural case.
661,"['Comedy', 'Drama', 'Romance']","Summary: 'The only thing that will stop you from fulfilling your dreams is you"" People have dreams  but not all of us have the guts to put faith in ourselves. Most of us lose focus and give up. We ...                    "
662,"['Action', 'Drama']",Summary: A tax collector willing to reform the society with the thought of change instead of revenge tries to control himself while attempting to teach a lesson to the man responsible behind his wife's death.
663,"['Drama', 'Musical', 'Romance']",Summary: Modern adaptation of William Shakespeare's 'Romeo and Juliet' with an Indian twist  the film focuses on the story of Ram and Leela  their love  lust and the drama afterwards.
664,"['Action', 'Drama']",Summary: A young boy's father is lynched before his eyes; fifteen years later he returns home for revenge.
665,"['Comedy', 'Drama', 'Romance']",Summary: A few drinks too many leads an uptight architect and quick-witted hairstylist to marry in Las Vegas. Can a mistake lead to friendship and love?
666,"['Drama', 'Romance']",Summary: An aspiring filmmaker from Mumbai falls in love with a woman from a strict orthodox Christian family.
667,"['Horror', 'Mystery', 'Thriller']",Summary: A group of friends went to shoot their film project  but never returned. A few days later  their camera was found.
668,"['Comedy', 'Musical', 'Romance']",Summary: Sid and Sonali help people in getting divorce who are not happy in their married life while in the case of Mark and Maggie Pereira it is then Sonali will come to know about Sid's intentions...                    
669,"['Comedy', 'Drama', 'Romance']",Summary: A boy kidnaps a girl  but starts to fall in love with her.
670,['Drama'],Summary: A newspaper sub-editor  Aditya (Ananth Mahadevan) suffers his third heart attack and finds himself in the ICU of a hospital. On the bed next to him is Shaukat Ali (Saurabh Shukla)  a ...                    
671,['Drama'],Summary: nan
672,"['Action', 'Biography', 'Crime']",Summary: The story of Paan Singh Tomar  an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.
673,"['Mystery', 'Thriller']",Summary: A pregnant woman's search for her missing husband takes her from London to Kolkata  but everyone she questions denies having ever met him.
674,['Romance'],Summary: Mr. Singh  an elderly gentleman  relates to his wife  whose memory is fading  the story of two lovers. In the story  the lovers face great difficulties but eventually emerge victorious.
675,"['Action', 'Adventure', 'Thriller']",Summary: A series of seemingly unconnected events across the world leads to Agent Vinod undertaking a globe-trotting mission to discover why his colleague was murdered.
676,"['Action', 'Drama', 'Thriller']",Summary: A young man elopes with the girl he loves and moves to South Africa  where he works in the diamond-exporting business. Slowly  he is pulled into the underworld.
677,['Comedy'],Summary: Bumboo movie is based on one simple idea. Every person meets someone  who screws it up and makes life miserable (In the 'Bambaiyya' lingo it is called as 'Vaat Lagna'). In Bumboo the movie ...                    
678,"['Romance', 'Thriller']",Summary: Add a Plot »
679,['Thriller'],Summary: Anjali Malhotra comes to India in search of her husband. But she has to face corruption everywhere and is left clueless about the mystery of her missing husband.
680,"['Comedy', 'Romance']",Summary: Chandini comes to India to attend Veer's sisters wedding. In those four days  she wins everyone's heart.
681,['Romance'],"Summary: Bittoo Boss' is a young charming  ingenious and a fun filled wedding cameraman who takes pride in calling himself a ""Sesky Video Shooter"". He is the star of all wedding celebrations of ...                    "
682,"['Comedy', 'Romance']",Summary: A man is brought in by an infertility doctor to supply him with his sperm  where he becomes the biggest sperm donor for his clinic.
683,"['Drama', 'Thriller']",Summary: After a powerful businessman has her baby forcefully aborted  Kaavya Krishna uses her body as a sexual weapon to destroy his empire  brick by brick.
684,"['Action', 'Crime', 'Drama']",Summary: To revenge his past  Aakash Rana plants bomb in a train endangering lives of 500 passengers.
685,"['Fantasy', 'Mystery', 'Romance']",Summary: Three doppelgangers(one girl+ two boys).Two of them loves each other and get together from many lives .And the third one(who can't be killed easily)also wants the girl and he tries to separate them through many lives.
686,"['Action', 'Drama', 'Romance']",Summary: While fighting for the political supremacy of their respective families  a Hindu man and a Muslim woman share a forbidden romance.
687,"['Action', 'Crime', 'Thriller']",Summary: A suspended cop joins hands with inspector Mahadev Bhonsle to free the city from underworld.
688,"['Comedy', 'Fantasy', 'Romance']",Summary: They say that matches are made in heaven. This is one of those films where they are undone in heaven! But then again  that's the strange thing about love: just when the worst has happened  ...                    
689,"['Action', 'Adventure', 'Animation']",Summary: The tale of how Arjuna fought his inner self and became the legendary archer.
690,['Comedy'],Summary: A one-day journey of four different people struggling in the city of Mumbai. One with vengeance  one on a mission  one with hope and one looking to con.
691,"['Crime', 'Mystery', 'Thriller']",Summary: Prime leader of a campaign against a big government project is killed in what appears to be a road accident. An IAS officer is ordered to probe the incident and the veils of falsehood begin to drop.
692,"['Comedy', 'Drama', 'Family']",Summary: How the pursuit of an Indian cricket legend's Ferrari makes a young boy's dreams of playing cricket at Lords a reality.
693,"['Comedy', 'Drama', 'Romance']",Summary: The true love between a couple in 1910  1960 and 2012. Their love is so strong that even destiny wants to bring them together.
694,['Comedy'],Summary: Mr Bhatti is a delusional character who wins a trip to the Lake District out of the blue  he comes over  with a group of Indian tourists visiting the Lake District. Bhatti is under the ...                    See full synopsis »
695,['Family'],Summary: Traces the journey of a young IIT aspirant as he copes with academic failures and is surprised to discover inspiration in a most unexpected place. Inspired by a true story.
696,['Thriller'],Summary: Rakhtbeej is the story of two men  from two different generations. Even though their worlds are different their lives keep intersecting. Abhay Jatav from humble beginnings  ends up becoming...                    
697,"['Action', 'Comedy', 'Crime']",Summary: A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur  and ignites a deadly blood feud spanning three generations.
698,"['Action', 'Comedy', 'Crime']",Summary: A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur  and ignites a deadly blood feud spanning three generations.
699,"['Comedy', 'Drama', 'Romance']",Summary: A love triangle between a guy and two girls  who are best friends but the complete opposite of one another.
700,['Drama'],Summary: In a small town in central India  kids and adults are equally obsessed with kite-flying. The airspace is dominated by a black kite called Kali with mysterious origins. A street kid Gattu  ...                    
701,['Comedy'],Summary: Adi and Sid want to make big but always run out of luck and series of confusion start taking place when they reach Goa.
702,"['Action', 'Crime', 'Drama']",Summary: Revolves around two cops who wants be at the top  find themselves at loggerheads with each other whatever it takes to be.
703,['Thriller'],Summary: The film tells the story of chartered accountant Vikram and his keep Soniya who are waiting for another Accountant Muqaadam to deliver 5 Crores Hard Cash at their Farm House. Vikram works ...                    
704,"['Action', 'Romance', 'Thriller']",Summary: India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.
705,['Comedy'],Summary: When a rich spoilt brat's grandfather hires a female chauffer for him  the fun unfolds.
706,['Romance'],Summary: Farhad Pastakia (Boman Irani) has a dream job as a bra-and-panty salesman. Except that he is a 45-year old Parsi bachelor still living with his overbearing mother and grandmother. But it's ...                    
707,"['Comedy', 'Family', 'Sci-Fi']",Summary: A space scientist working on a project to communicate with aliens visits a village called Paglapur. To improve the plight of the inhabitants of Paglapur  he comes up with a novel idea.
708,['Sci-Fi'],Summary: Artdirector Md asdulla khan
709,['Comedy'],Summary: Amar Joshi (Sunil Shetty) sells his business in hope to become a film director. After meeting immoral producers and financers  he finds out that his journey won't be so easy.
710,"['Action', 'Adventure', 'Animation']",Summary: Hailed as India's first stereoscopic animated film  'Krishna Aur Kans' is an exciting narrative full of action and drama. The movie chronicles Krishna's early years -- from his birth as the nemesis of his tyrannical uncle Kans.
711,"['Comedy', 'Romance']",Summary: It was a dream come true for Meghaa Banerjee  a small town girl in West Bengal  India when she earned a scholarship from the prestigious University of New South Wales in Australia to pursue...                    
712,"['Drama', 'Family', 'Mystery']",Summary: Where would you be if your mother was not allowed to be born?
713,"['Comedy', 'Drama', 'Romance']",Summary: Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
714,['Drama'],Summary: A female superstar struggles through the trials and tribulations of being a Bollywood actress.
715,"['Comedy', 'Drama']",Summary: Suraj has everything any young man would kill for - an MBA  a well-paid job and an offer from UK with a salary of 5 000 pounds. But Suraj is no ordinary boy! He has only one passion - ...                    
716,"['Adventure', 'Comedy', 'Crime']",Summary: Film is set in one winter night in Delhi where a middle class  Delhi university guy falls in love with a girl anchoring a fashion show. In process of wooing her someone plants a sting ...                    
717,['Drama'],Summary: The horrid realities of underworld crime as well as the changing times of Bihar state.
718,"['Comedy', 'Drama', 'Fantasy']",Summary: A shopkeeper takes God to court when his shop is destroyed by an earthquake.
719,"['Comedy', 'Romance']",Summary: A woman goes on the hunt for her dream man  armed with her wild imagination  her passion for Masala-films  and her ultra-sensitive sense of smell.
720,"['Action', 'Drama', 'War']",Summary: School kids organize an armed revolt in the 1930s in British occupied Chittagong. There are casualties on both sides. Later  one of those kids successfully leads the peasants to regain their food-grains earlier commandeered by the British.
721,"['Horror', 'Mystery', 'Thriller']",Summary: A family moves into a possessed bungalow. A sudden turn of events in the house leaves them astonished. When things worsen  escape seems to be their last resort.
722,"['Animation', 'Comedy', 'Drama']",Summary: A group of animals plan a trip to Delhi in order to ask the parliament why the forest they live in is on the verge of destruction.
723,"['Action', 'Drama', 'Thriller']",Summary: On the request of his friend Kabir  SP Adil Sends him to the Naxal group as an informer. When Kabir finds the truth he becomes one of their gang leader.
724,"['Comedy', 'Drama', 'Romance']",Summary: Several alumni reminisce about their final year at St. Theresa's College and the events that shaped their lives.
725,"['Comedy', 'Romance']",Summary: Rajveer falls in love with Madhuri. He realizes that she hates rich people. So Rajveer  along with his family  pretends to be poor to win Madhuri's love.
726,"['Crime', 'Thriller']",Summary: Story of a struggling news reporter engulfed by the veneer of glamour  money  power and the enviable life of media.
727,"['Drama', 'Horror', 'Romance']",Summary: This story revolves around a famous poet who meets a woman who is in trouble. In order to treat her  he takes her to Shimla in a big hospital  but soon that woman gets possessed by devil ...                    
728,"['Animation', 'Drama', 'Musical']",Summary: Surayavanshi Ram of Ayodhya  the greatest warrior king that ever lived  was forced to send his beloved wife Sita into exile  thus leading him and his kingdom to despair and towards an empty...                    
729,"['Comedy', 'Musical']",Summary: Madhav Chaturvedi files a police complaint that his whole house has been robbed.But it is suspected to be done himself in order to claim the insurance amount.The case becomes lot of ...                    
730,"['Drama', 'Romance']",Summary: A woman is made to realize that her prayers and sacrifice to save her boyfriend's life may have led him to a fate worse than death.
731,"['Crime', 'Drama', 'Mystery']",Summary: Inspector Surjan Shekhawat  who is dealing with a depressing past  has to investigate a high profile murder case  deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie.
732,"['Drama', 'Thriller']",Summary: This movie is about three characters who are connected to the Internet and end up disconnecting their actual life.
733,"['Action', 'Comedy']",Summary: A guest tries to stay inside the house of a man who can't kill him unless he's outside  because of believing guest to be equal to God.
734,"['Romance', 'Thriller']",Summary: A guy falls in love blindly with a beautiful girl. This blind love leads him into deep trouble  and further separates him from other people like one man versus the entire world. In these ...                    
735,"['Action', 'Comedy']",Summary: Chulbul Pandey invites a fresh trouble when he kills the brother of a notorious politician and the former swears to wreak havoc in his life.
736,"['Action', 'Crime', 'Thriller']",Summary: Two thieves  a magician  a computer hacker  a wannabe actor and a explosives expert plan a robbery to fulfill the dream of Victor Braganza. Will they be successful or will destiny have something different for them?
737,"['Action', 'Comedy', 'Musical']",Summary: A comedy of errors wherein four men help each other to fool their prospective father-in-laws creating a cascade of confusion and mayhem.
738,"['Action', 'Comedy']",Summary: All hell breaks loose when a Muslim man breaks a temple lock to save a little child  thus for his safety keeps a Hindu name  where he starts making web of lies.
739,"['Comedy', 'Drama', 'Family']",Summary: A quiet  sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.
740,"['Comedy', 'Drama', 'Romance']",Summary: Rejected by the woman he loves  a slacker abducts her shortly before her marriage with another male.
741,"['Action', 'Comedy', 'Drama']",Summary: A married Canadian travels to India to re-unite with his estranged father and brother but faces obstacles and challenges.
742,"['Action', 'Comedy', 'Crime']",Summary: A hair-stylist with money problems overhears a plot to kidnap her landlord's son.
743,['Drama'],Summary: The lives of four people intersect in Mumbai: a washer-man who wants to become an actor  a banker-turned-photographer  a painter looking for inspiration  and a newly-married immigrant who journals her experiences on home video.
744,"['Comedy', 'Drama', 'Romance']",Summary: Naina grapples with heartbreak and a crisis in her advertising career  while facing her 30th birthday.
745,"['Action', 'Crime', 'Drama']",Summary: An Engineering student is molested  beaten and humiliated when he goes to reside in a hostel.
746,"['Comedy', 'Drama', 'Romance']",Summary: Three roommates are in search of true love. They each find a girl with whom they fall head over heels in love with. Now they just have to get the women to reciprocate.
747,"['Action', 'Drama', 'Thriller']",Summary: Six women decide to break into a bank  withdraw at the 11th hour - but must go on the run after the bank gets robbed by unknown person(s).
748,"['Comedy', 'Drama']",Summary: A man and his private-detective friend attempt to deal with a bitter ex-girlfriend and a missing bag full of cash.
749,"['Drama', 'Sport']",Summary: A victim of British racial violence and profiling prevents his son from playing cricket.
750,"['Drama', 'Mystery', 'Thriller']",Summary: Susanna's quest for love leads to a series of marriages  each ending in the mysterious death of her latest husband.
751,"['Comedy', 'Drama', 'Romance']",Summary: Manu comes to India to find a bride for himself and falls for Tanu at first sight but Tanu  a free spirited girl has no plans of marrying him.
752,"['Comedy', 'Drama']",Summary: Unable to get accepted  four academically-challenged students decide to open their own college.
753,['Drama'],Summary: A mother finds out that her recently deceased son had a secret life.
754,['Comedy'],Summary: Three wives engage the services of a private investigator after they suspect their respective husbands of infidelity.
755,"['Action', 'Drama']",Summary: After serving time in jail for running over a man  an ex-convict is then arrested for sexually molesting the man's physically-challenged daughter.
756,"['Comedy', 'Drama']",Summary: Three married men seek counseling from a fourth in order to meet and date other women.
757,"['Comedy', 'Drama']",Summary: In order to inherit a mansion  three squabbling brothers must fulfill their late grandfather's wishes.
758,"['Action', 'Crime', 'Drama']",Summary: A corrupt police officer is entrusted the task of apprehending drug-dealers.
759,"['Crime', 'Drama']",Summary: Various residents and career-criminals face challenges in crime-laden Mumbai.
760,"['Action', 'Adventure']",Summary: An orphan is abused and abandoned  believed to be dead  and upon his return is first feared as a ghost  and then projected as a superhero.
761,"['Comedy', 'Drama']",Summary: Enroute to her destination via plane  a busy executive gets stranded with a middle-classed fast-talking male.
762,"['Drama', 'Romance']",Summary: A dark-complexioned waitress develops an on-line relationship a hunk in her school.
763,"['Comedy', 'Drama', 'Family']",Summary: Amidst terrorist alerts  five small-town children set out to procure a parachute from a city.
764,"['Biography', 'Drama', 'Thriller']",Summary: An accused and three politically-connected suspects are prosecuted for their involvement in the homicide of a journalist.
765,['Drama'],Summary: Four traumatic and life-changing stories in various parts of modern secular India.
766,"['Comedy', 'Drama']",Summary: A 40 year old male virgin with sleep-walking problems finds true love after getting married to a naive child-like woman.
767,"['Horror', 'Mystery', 'Thriller']",Summary: A Realtor encounters two ghostly entities while attempting to sell a mansion.
768,"['Drama', 'Romance']",Summary: The only daughter of a wealthy businessman falls in love with a middle-classed underemployed artist.
769,"['Drama', 'Horror', 'Mystery']",Summary: Out to relax and have fun at a farmhouse  a couple experience horror at the hands of an unknown entity.
770,"['Comedy', 'Drama', 'Family']",Summary: A school-teacher  who forces children to share their food with him  forbids one from entering the school until he brings his own Tiffin/Lunch-box.
771,"['Action', 'Crime', 'Drama']",Summary: A rookie cop questions the tactics of his superior  and attempts to track the abductors of his girlfriend.
772,"['Drama', 'Mystery', 'Thriller']",Summary: A brilliant student starts hallucinating after moving into a room that was occupied by another who committed suicide.
773,"['Action', 'Crime', 'Drama']",Summary: Five substance-abusing friends decide to fake a kidnapping in order to bribe a police constable for covering-up a hit-and-run accident.
774,"['Comedy', 'Drama', 'Romance']",Summary: After falling in love  three room-mates experience changes in their lives.
775,"['Comedy', 'Drama']",Summary: A tax-evading businessman and an income-tax officer get stranded on an isolated island.
776,"['Comedy', 'Crime', 'Drama']",Summary: A story centered on four students coming of age during a year at their school  St. Marks.
777,"['Comedy', 'Crime', 'Drama']",Summary: Four slackers decide to avenge their humiliation at the hands of a con-man.
778,"['Action', 'Crime', 'Thriller']","Summary: A quick-tempered  flamboyantly-dressed  retired hit-man returns to India for one last job. Just don't call him ""Buddah"""
779,"['Action', 'Comedy', 'Crime']",Summary: Three struggling room-mates unknowingly become potential prey of a ruthless gangster.
780,"['Action', 'Drama', 'Horror']",Summary: An ex-cop is hired by a pimp to find missing call girls and the man responsible behind their abduction.
781,"['Comedy', 'Drama', 'Family']",Summary: A gang of innocent but feisty kids who lead carefree lives in Chandan Nagar colony takes on the big bad world of politics when one of their friend's life is endangered.
782,"['Comedy', 'Drama']",Summary: Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
783,"['Drama', 'History', 'War']",Summary: Adolf Hitler assists India in it's freedom struggle against the British  while Mohandas Gandhi writes to him to end violence.
784,"['Comedy', 'Drama', 'Family']",Summary: An impoverished boy forms an unlikely and unstable friendship with the lonely son of a nobleman.
785,"['Action', 'Comedy', 'Crime']",Summary: Petty robbers on the run from gangsters and police end up in a town where they are mistaken for police officers.
786,['Drama'],Summary: After getting bored with her love less marriage life  a wife decides to get a breathe of fresh air and meets a hit man.
787,"['Action', 'Drama']",Summary: A truly honest police officer is transferred to a town controlled by a gangster he has humiliated. The gangster believes he can use good power to bring down this officer who made him look foolish and weak.
788,"['Drama', 'Thriller']",Summary: Human rights workers encounter obstacles while investigating killings in modern secular India.
789,['Drama'],Summary: A teenager faces interfering parents  a sibling  and a rival for the girl he loves.
790,"['Action', 'Crime', 'Drama']",Summary: An impoverished woman faces off against gangsters as well as the police after her brother is killed.
791,"['Drama', 'Mystery', 'Romance']",Summary: With the help of the police and a psychic  a husband attempts to try and locate his missing wife.
792,['Drama'],Summary: A decision by India's supreme court tests a man's friendships and loyalty.
793,"['Action', 'Adventure', 'Comedy']",Summary: A bumbling police detective and his sidekick attempt to arrest an assassin.
794,"['Action', 'Comedy', 'Drama']",Summary: The son of a politician is abducted. The kidnappers play a dangerous double game to support activists against land grabbing by the Government.
795,"['Action', 'Comedy', 'Romance']",Summary: The daughter of a wealthy nobleman secretly falls in love with her bodyguard.
796,"['Drama', 'Romance']",Summary: A divorced businesswoman with two children falls in love with a much younger man.
797,"['Crime', 'Drama', 'Thriller']",Summary: An aspiring movie actress and her boyfriend are arrested and charged with Homicide.
798,"['Comedy', 'Crime', 'Drama']",Summary: Two colleagues  who woo the same woman  are abducted by her gangster uncle.
799,"['Comedy', 'Drama']",Summary: An eccentric woman's life undergoes many changes as she prepares for the marriage of her children.
800,"['Comedy', 'Family', 'Romance']",Summary: A quirky rom-com where Kush finds the ideal Indian bride Dimple for his brother Luv and a series of comical and unpredictable events follow.
801,"['Drama', 'Romance', 'War']",Summary: A war  religious conflicts  and misunderstandings create obstacles for a couple of different faiths.
802,['Romance'],Summary: When Akash  a renowned tycoon  obsessed with wealth  meets Reena  a small town Indian girl with big starry dreams  he is confronted with perplexing choices and must make life altering ...                    
803,"['Action', 'Thriller']",Summary: A vengeful drug-dealer/gangster targets and terrorizes an entire police unit and their families.
804,"['Action', 'Crime', 'Drama']",Summary: Hired to kill a nobleman  the assassin instead falls for the former's unstable wife.
805,"['Comedy', 'Drama', 'Romance']",Summary: An irate groom-to-be abducts a recently married bickering couple and asks them to take him to his wedding.
806,"['Comedy', 'Drama', 'Sport']",Summary: An ethnic Canadian hockey player struggles against traditional family values and discrimination from mainstream hockey players.
807,"['Drama', 'Thriller']",Summary: The story revolves around the murder case of an actress.
808,"['Comedy', 'Drama', 'Romance']",Summary: A couple and many of their friends experience changes and challenges in their respective lives after attending a wedding.
809,"['Comedy', 'Romance']",Summary: When you can't make it on your own  the best thing to do is to fake it. But  the question remains  how long can you fake true love?
810,"['Action', 'Drama', 'Mystery']",Summary: A Secret Agent must race against time to stop terrorists about to unleash an unknown strain of the Ebola Virus.
811,"['Action', 'Adventure', 'Sci-Fi']",Summary: When the titular antagonist of an action-adventure video game takes on physical form  it's only the game's less powerful protagonist who can save his creator's family.
812,"['Drama', 'Music', 'Musical']",Summary: Janardhan Jakhar chases his dreams of becoming a big Rock star  during which he falls in love with Heer.
813,"['Comedy', 'Drama', 'Romance']",Summary: A tennis player incurs his pushy divorced parents' displeasure when he pretends to fall for a struggling model.
814,"['Action', 'Crime', 'Drama']",Summary: After finding she was adopted as child  a young woman sets out to look for her biological parents.
815,"['Comedy', 'Drama', 'Romance']",Summary: On a break from his pushy girlfriend  a male falls for the sister of his employer.
816,"['Comedy', 'Drama', 'Romance']","Summary: A smooth and charming conman  Ricky Bahl  cons girls for a living but finally meets his match is this fun-filled ""ROM-CON."""
817,"['Comedy', 'Drama']",Summary: Two friends lose their jobs  then part bitterly after they get exposed as male strippers.
818,"['Action', 'Crime', 'Drama']",Summary: A wealthy man invites four people to his private island to blame three of them for his daughter's sudden death. The next morning  the wealthy man is found murdered.
819,"['Biography', 'Crime', 'Drama']",Summary: A journalist  who is more of an activist teams up with the sister of a murdered model  as she gets interested in the case and wants to bring justice to her case.
820,"['Action', 'Comedy', 'Crime']",Summary: Two rival con-men attempt to outdo each other to woo a wealthy woman.
821,"['Biography', 'Drama']",Summary: The love story between an actress and a director  inspired by the life of the late south Indian actress Silk Smitha.
822,"['Comedy', 'Romance']",Summary: Everybody loves beautiful Alisha and it's no surprise that nerdy Abhay loves her too but she doesn't know he exists until years later their paths cross.
823,"['Comedy', 'Drama', 'Music']",Summary: New love convinces a struggling actor and dancer to enter a talent competition that could make him a superstar.
824,"['Comedy', 'Crime', 'Drama']",Summary: Twenty-something Michael Pinto has grown up in a small Goan village  believing everyone in the world to be simple  kind and honest  just like him. His world revolves around a doting mother ...                    
825,"['Action', 'Adventure', 'Drama']",Summary: In early twentieth-century British India  the Pindari leader Prithvi Singh narrates his story to a reporter from the London Times - a story of betrayal and deceit at the hands of the ...                    
826,"['Action', 'Crime', 'Drama']",Summary: Amidst strictly enforced curfew by Bombay Police during December 1992 following Hindu-Muslim riots  Suryakant - one of four siblings from Malad's Malvani slums  heads home. While doing so  ...                    
827,"['Drama', 'Mystery', 'Thriller']",Summary: Unfolds the story behind the news industry and its political conspiracies.
828,"['Comedy', 'Drama', 'Romance']",Summary: While on the run from goons  a man and his nephew fall for a kidnapper's seductive widow.
829,"['Drama', 'Thriller']",Summary: Amidst bomb explosions  fake arrests  police brutality and protests  a determined mechanic attempts to repair an antique truck to transport the last remains of Mahatma Gandhi in modern day India.
830,"['Drama', 'Romance']",Summary: In his bid to quickly boost his career  a male alienates himself from his family  friends  and true love.
831,"['Drama', 'Horror', 'Mystery']",Summary: A photographer and his girlfriend enter a nightmarish world after they run over a woman.
832,"['Comedy', 'Drama']",Summary: A pushy busybody invites a young man to be her tenant  in hopes of arranging a marriage for her younger sister; but then has to get rid off him when she believes she has found an even better match.
833,['Drama'],Summary: An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
834,"['Crime', 'Drama', 'Thriller']",Summary: A disgraced professor recounts his career and involvement with gambling.
835,"['Drama', 'Mystery', 'Thriller']",Summary: A loner  Karthik achieves success  and even wins the heart of his gorgeous co-worker  after getting early morning mysterious phone calls from someone claiming to be him.
836,"['Action', 'Crime', 'Thriller']",Summary: An international criminal turns himself in and escapes with an old rival from prison  following which he recruits a team to steal currency printing plates from a bank in Berlin.
837,"['Drama', 'Horror', 'Mystery']",Summary: New Delhi-based Anushka Walia  who lives with her widowed mother  gets a phone from her frightened sister  Ahana Warda  from Goa. Shortly thereafter a male comes on the phone and informs ...                    
838,"['Action', 'Drama', 'Thriller']",Summary: An assassin  who wants to quit  is asked to carry out a final assignment.
839,"['Crime', 'Drama', 'Thriller']",Summary: A decorated and disabled Police Officer becomes suspect in a double homicide.
840,['Drama'],Summary: An Indian soldier loses hope after his family are killed by militants.
841,"['Crime', 'Drama']",Summary: A homeless petty thief attempts to find the biological mother of an abandoned baby.
842,"['Comedy', 'Drama']",Summary: A naive villager faces challenges when he gets a job in a big city.
843,"['Action', 'Drama', 'Mystery']",Summary: Three friends find their lives endangered after a huge inheritance.
844,"['Adventure', 'Horror', 'Romance']",Summary: In order to wed his sweetheart  a male must reverse a 350-year old curse on her family.
845,"['Comedy', 'Drama', 'Fantasy']",Summary: An alcoholic and insomniac photographer is approached by deceased persons' souls in order to try and resolve their concerns.
846,['Comedy'],Summary: A mild mannered chauffeur finds that the government in his parched village is giving loans to dig one's own well. After fudged photographs and bribes  he has no loan amount left to build his well. Aggrieved  he protests by abjuring water.
847,"['Comedy', 'Drama']",Summary: A retired law clerk defends an encroaching restaurant owner against a multinational company.
848,"['Comedy', 'Drama', 'Fantasy']",Summary: Rejected by the woman he loves  a man must find true love for an amazon from Venus.
849,"['Comedy', 'Drama']",Summary: After his wife and daughter go to visit relatives  a man decides to have an affair with his attractive neighbor.
850,"['Drama', 'Romance']",Summary: A Hindu/Sikh family face challenges when their adopted son falls in love with a Muslim girl.
851,"['Drama', 'Romance']",Summary: Pen pals decide to get married and carry-on a long-term relationship.
852,"['Drama', 'Family']",Summary: A new English school-teacher also teaches music but ends up leading both teachers and students to revolt against the school management.
853,"['Drama', 'Horror', 'Mystery']",Summary: While on vacation  children and their father are terrorized by their mother and wife respectively.
854,"['Action', 'Drama', 'Sport']",Summary: A cricketer turns kick-boxer in order to avenge the death of his brother.
855,"['Drama', 'Mystery', 'Thriller']",Summary: A jilted woman feels threatened after renting a room to a female.
856,"['Crime', 'Drama']",Summary: An impoverished family faces challenges and obstacles after strikes/shut-downs/arson shut down Mumbai's mills.
857,"['Action', 'Crime', 'Drama']",Summary: Police launch a manhunt for an escaped rehab-patient/terrorist responsible for the assassination of a politician
858,['Comedy'],Summary: Believing himself to be jinxed  a man attempts to find true love  but instead gets caught in a web of lies.
859,['Drama'],Summary: Girls have dreams - dreams of a fairytale romance  of prince charming sweeping them off their feet  a dream wedding and living happily ever-after. Mitali  a successful model  also had ...                    
860,"['Comedy', 'Drama', 'Fantasy']",Summary: A comedy centered on an Indian mother who takes her obsession with marriage into the world of serial murder.
