,input,output
935,"['Comedy', 'Drama', 'Romance']","title: Aloo Chaat
Story: Story focuses on a US return guy Nikhil who is in love with a Muslim girl Aamna (Aamna Shariff). To convince his orthodox Hindu family which a strictly against a Muslim girl Nikhil plots a drama with the help of his uncle Hakeem Tarachand and hires a girl Nikki to play his girlfriend from US while Aamna plays her friend. While both the girls stays at Nikhil's place Aamna tries to win the heart of Nikhil's family with of course Nikhil trying to highlight the misbehaviors of Nikki and cultured behavior of Aamna to change his family's perception. Nikhil  Aamna and Nikki have to face a lot of twist & turns  and with Nikhil's mama Chaddami at their back it won't be easy for the trio to accomplish their mission
Suitable Actors: Aftab Shivdasani|Aamna Sharif|Linda Arsenio|Sanjay Mishra|Manoj Pahwa|Kulbhushan Kharbanda|Dolly Ahluwalia|Meenakshi|Chandan Anand|Lalit Parashar|"
936,"['Comedy', 'Crime', 'Drama']","title: Barah Aana
Story: Barah Aana is a comedy of real life  set in today's Mumbai. The story revolves around three unlikely friends: a driver (Shukla)  a watchman (Yadav)  and a waiter (Aman). The driver is an older man  stoic but dependable. The watchman  in his 30s  is a pushover at work but otherwise mischievous. The waiter is a young  swaggering chap  brimming with ambition. Living together  their differing attitudes spark playful banter. At some point  misfortune befalls the watchman and  due to a series of chance events  he stumbles into a crime. Striking upon a seemingly low-risk way to make good money  and discovering a new sense of self-confidence  he tries to entice the others to join him in a series of such crimes. Cat and mouse games ensue between the three as personalities change  but events soon spiral out of control  leading them in a direction none of them had wanted to take... Featuring a talented ensemble cast  Barah Aana is based on an original script. The running time is 97 minutes.
Suitable Actors: Naseeruddin Shah|Vijay Raaz|Arjun Mathur|Violante Placido|Tannishtha Chatterjee|Jayati Bhatia|Mahabanoo Mody-Kotwal|"
937,"['Drama', 'History']","title: Firaaq
Story: Following riots in Gujarat  Arati experiences guilt when she did not open her door to shelter an injured Muslim woman. Her husband  Sanjay  had looted merchandise from shops  and his brother  Devan  had even sexually molested Muslim women. A young lad  Mohsin  leaves the safety of an army-guarded camp to look for his father. Meanwhile Music maestro  Jahangir Khan  faces isolation. Sameer Shaikh and his Hindu wife  Anuradha  decide to re-locate to Delhi. Muneera suspects her Hindu friend  Jyoti  of setting her house on fire  while biased police officers continue oppressing Muslims and five Muslim men find a gun and attempt to seek vengeance.
Suitable Actors: Inaamulhaq|Nassar|Shahana Goswami|Nawazuddin Siddiqui|Paresh Rawal|Honey Chhaya|Deepti Naval|Dilip Joshi|Kavan Antani|Naseeruddin Shah|Raghuvir Yadav|Sanjay Suri|Tisca Chopra|Suchita Trivedi|"
938,"['Action', 'Sci-Fi', 'Thriller']","title: Aa Dekhen Zara
Story: Mumbai-based struggling wildlife photographer  Ray Acharya  is informed that his maternal grandfather has passed away  and left some mementos for him. He picks them up  finds out they include an old camera which has the uncanny ability to photograph the future. He uses it to amass wealth at the lotteries and races; and woos struggling singer  Simi Chatterjee  but finds that he has to face enemies who want the camera by hook or by crook. The first one is a ruthless assassin simply known as Captain; the other is Special Officer Puri. And even if Ray manages to survive either of these two - who pursue him all the way to Bangkok - he will still have to face yet another enemy - death!
Suitable Actors: Neil Nitin Mukesh|"
939,"['Comedy', 'Crime', 'Drama']","title: 99
Story: 99 is an original story inspired by real events - well  very liberally inspired - it is more fiction than fact. It is the story of two men in two cities  who are bound by a common feeling of always being stuck at '99'. They never seem to make it to a 'century' - in life. It is an unpredictable and hilarious ride spread over two cities with colorful characters  unbelievable circumstances  small-time crooks  big-time conspiracies  fateful car crashes  a briefcase full of money... and a historical controversy brewing in the background!
Suitable Actors: Kunal Khemu|Boman Irani|Soha Ali Khan|Cyrus Broacha|Simone Singh|Mahesh Manjrekar|Amit Mistry|Vinod Khanna|Sudesh Berry|Raja Kapse|Rajesh Kumar Singh|"
940,"['Action', 'Drama', 'Thriller']","title: Ek: The Power of One
Story: Mumbai-based Nandkumar Sharma is a high-priced hit-man. He is paid a princely 1.5 Crore Rupees to injure Anna Mhatre  so that the later can get enough 'sympathy' votes to get him elected as the next Chief Minister  but ends up killing him. On the run from the Police  he ends up assuming the guise of Hoshiyarpur's Puran Singh  who has been away from home for the last 18 years  and does succeed in fooling Puran's joint family. But his hopes for settling there appear to be in vain with the arrival of a CBI Team  led by Inspector Mahendra Kumar Rane - who is determined to expose and arrest Nandkumar at any and all costs.
Suitable Actors: Bobby Deol|Shriya Saran|Kulbhushan Kharbanda|Sachin Khedekar|Sanjay Mishra|Chunky Pandey|Nana Patekar|Jackie Shroff|Raghuvir Yadav|"
941,"['Action', 'Comedy', 'Crime']","title: Ek Se Bure Do
Story: Gangster Jagat Dada not only decides to forgive money owing to him by Toti and Tony but also agrees to pay them Rs.1 Lakh provided they steal a treasure map. They agree to do so  collect an advance of Rs.20 000/-  find the map  make a fake copy through Mammu  and present it to Jagat  while they decide to woo two wealthy heiresses  Payal and Gehna  and find the treasure on their own. The hapless duo will not only find their lives in jeopardy when they find that the paternal uncle of the two beauties is Vikramaditya - the lookalike of Jagat - and also face-off against a vengeful Jagat - who has taken over the latter's identity; a Daku; a gangster named Gullu; and an enraged police inspector - who blames them for his demotion.
Suitable Actors: Anita|Lankesh Bhardwaj|Snehal Dabi|Jagdeep|Razak Khan|Govind Namdeo|Brinda Parekh|Vijay Raaz|Anita Hassanandani Reddy|Virendra Saxena|Yashpal Sharma|Tusha|Arshad Warsi|"
942,"['Crime', 'Drama', 'Mystery']","title: Sikandar
Story: 14-year-old Sikandar Raza has been living with his uncle and aunt in Kashmir  ever since his parents were killed by militants 10 years ago. The young boy  who dreams of a better life for his family by realizing his football talent  is a bit of a loner at school and an easy target for the school bullies. One day on his way home from a school football match  Sikandar finds a pistol lying on the path. Despite being warned against it by his new friend Nasreen  Sikandar picks up the pistol believing it to be the answer to his problems. When playing with the pistol alone in the woods  Sikandar meets a young man who teaches him how to be a great shot  but the young man is not who he seems and Sikandar innocently becomes caught up in political warfare. Although the quiet Nasreen acts as Sikandar's conscience  Sikandar gets further embroiled in situations beyond his control  and innocent people get killed. As the story unfolds we see that Sikandar is an innocent victim in a game being played ...
Suitable Actors: Parzaan Dastur|Ayesha Kapoor|Sanjay Suri|Madhavan|"
943,"['Comedy', 'Drama', 'Family']","title: Zor Lagaa Ke... Haiya!
Story: A tree narrates the story of four Mumbai-based school-children: Priya  Karan  Ritesh and Laddu  who are curious about a beggar  Raavan  and decide to observe him. With the help of a young construction laborer  Ram  they steal material from a construction site  build a tree-house in order to spy on him - a process that ends up in friendship. Things take a turn for the worst when a builder  Bakshi  asks his assistant  Gupta  to cut the tree down. The children object but are told that this action has been approved by the local government. The question remains: What can the children do - especially when they face opposition from their parents  and that Bakshi has not only made a donation to their society but also has Raavan arrested - in the state of Maharashtra that has set a near dubious record of cutting over Eleven Lakh Thirty Thousand trees in a five year period (2002-2007).
Suitable Actors: Meghan Jadhav|Mithun Chakraborty|Riya Sen|Seema Biswas|Raj Zutshi|Sachin Khedekar|Gulshan Grover|Ashwin Chitale|Ayesha Kaduskar|Mahesh Manjrekar|Ritvik Tyagi|Hardik Thakkar|"
944,"['Comedy', 'Drama']","title: Paying Guests
Story: After Bhavesh  Parag  Parikshat  and Jayesh ridicule their Bangkok-based landlord  Kiska Meglani  he evicts them. Broke and with nowhere to go  the hapless foursome decide to pose as couples  with Bhavesh and Parag assuming the guise of voluptuous females  Karishma and Kareena respectively. They find a sympathetic landlord  Ballu Singh  who lets them move in. Subsequently  Jayesh finds employment in an architectural firm and assures his friends that their problems may well be resolved. But before that could happen  Ballu's wife  Sweety  comes to know that Kareena is pregnant  and the involvement of gangsters who want a signed deed from Ballu at any and all costs.
Suitable Actors: Shreyas Talpade|Javed Jaffrey|Aashish Chaudhary|Vatsal Sheth|Johnny Lever|Delnaaz Irani|Sayali Bhagat|Neha Dhupia|Celina Jaitly|Riya Sen|Asrani|Paintal|Viju Khote|Chunky Pandey|"
945,"['Crime', 'Drama', 'Thriller']","title: New York
Story: NEW YORK is a contemporary story of friendship set against the larger than life backdrop of a city often described as the centre of the world. Omar (Neil Nitin Mukesh) has gone abroad for the first time in his life and soon enough he begins to see and love America through the eyes of his American friends - Sam (John Abraham) and Maya (Katrina Kaif). It is the story of these three friends discovering a new world together. But one day the world around them changed - For most of us  larger events in the world are just headlines in the newspapers but these events can change our lives - forever. New York is one such story of 3 young friends whose beautiful lives are turned upside down by the larger event of 9/11 beyond their control. At this point enters Agent Roshan (Irrfan)  an FBI undercover agent who sets the ball rolling for a series of tumultuous events that turn the lives of these friends into a dangerous and thrilling roller coaster ride. Innocence is lost forever.
Suitable Actors: John Abraham|Katrina Kaif|Neil Nitin Mukesh|Irrfan Khan|Nawazuddin Siddiqui|Ali Quli Mirza|"
946,"['Comedy', 'Crime', 'Drama']","title: Sankat City
Story: Owning several aquariums  fish-loving Mumbai-based Guru makes a living stealing cars  getting them to his garage-owner friend  Ganpat Gajanan Jagirdar  and re-selling them through an associate  Sharafat. One day he steals a Mercedez and takes it to Ganpat. They inspect the car  find a bag containing Rs.1 Crore  decide to keep it and improve their lifestyles. Ganpat 'refurbishes' the vehicle  and Sharafat finds a buyer in Suleman  who quite unfortunately  recognizes it  and informs the owner  Fauzdaar - a ruthless gangster and money-lender. Guru is located  interrogated brutally  and agrees to return the cash which is still stashed in the garage. When he goes there - Ganpat  who had hidden the cash  has met with an accident  is gravely injured  and requires immediate hospitalization. While recuperating  the doctor finds that he has completely lost his memory. With rising fears of a meteor crashing in the city  a furious Fauzdaar gives Guru three days to find the cash and return it to ...
Suitable Actors: Kay Kay Menon|Rimi Sen|Anupam Kher|Chunky Pandey|Manoj Pahwa|Dilip Prabhavalkar|Yashpal Sharma|Hemant Pandey|Sanjay Mishra|Rahul Dev|Virendra Saxena|Shri Vallabh Vyas|Gurpal Singh|Kurush Deboo|"
947,"['Comedy', 'Drama']","title: Shortkut - The Con Is On
Story: Bollywood's assistant director and aspiring writer  Shekhar Giriraj  permits a friend  Rajesh Kumar  to move in with him in his Chawl room  after the later is fired by Film Director  Ghosh. Shortly thereafter Shekhar quits his job  writes a movie script  and accepts an advance from V.C. Chhadha. He starts recruiting staff for this project  but finds his life shattered when his work is plagiarized by Rajesh; his sweetheart  Mansi  a reigning Bollywood actress  leaves her abusive and demanding family  and publicly declares that she will be moving in with him. Unemployed  forced to marry Mansi  he becomes neglectful  alcoholic  and goes on a road of self-destruction  compelling Mansi to leave him.
Suitable Actors: Sanjay Dutt|Anil Kapoor|Akshaye Khanna|Amrita Rao|Chunky Pandey|Arshad Warsi|Simi Garewal|Neeraj Vora|Abbas Alibhai Burmawalla|Amita Nangia|Tiku Talsania|Mushtaq Khan|Mastan Alibhai Burmawalla|Charlie|"
948,"['Action', 'Adventure', 'Drama']","title: Luck
Story: Born lucky  Karim Moussa takes to exploiting it instead of focusing on studies. Now a wealthy gambler  he decides to recruit about a dozen lucky people to participate in a deadly game of survival. His agent  Lakhaan Tamaang  recruits Ram Mehra - whose father killed himself after losing 25 Crores - and is about to lose everything he and his mom own  and may end up being arrested for robbing an ATM machine; Major Jabbar Pratap Singh - who needs money for his wife's treatment; a camel jockey  Shortcut  sold by her parents for Rs.15000/-  who wants to make it big in life; a returning player  Ayesha  who had already participated  and is back for more; a psychotic serial killer  Raghav Raghuvaran  who miraculously escaped the death penalty. All of the above  including others from different countries  must compete  kill each other  with the survivor netting 20 Crores Rupees in just 20 days.
Suitable Actors: Mithun Chakraborty|Sanjay Dutt|Imran Khan|Ravi Kishan|Chitrashi Rawat|Shruti Haasan|Snita Mehay|Danny Denzongpa|Rati Agnihotri|Rupa Ganguly|Srinivasa Rao Kota|"
949,"['Comedy', 'Drama', 'Romance']","title: Life Partner
Story: Based in Cape Town  specializing in divorces  Jeet Oberoi warns his friends  Karan Malhotra and Bhavesh Patel  about the many disadvantages of being involved in a married relationship. He indicates that marriages result in divorce  if it is a love marriage than the groom digs his grave; and if is an arranged marriage  it is the groom's family that dig his grave. Scoffing at this  Karan gets married with his sweetheart  Sanjana Jugran  much to the chagrin of her dad; while conservative Bhavesh travels to Vishwamitri  Gujarat  along with his entire family  and gets married to a liberal Prachi Jadeja. Incompatibility issues will soon surface  compelling the duo to retain Jeet as legal counsel to expedite their respective divorce proceedings.
Suitable Actors: Govinda|Fardeen Khan|Tusshar Kapoor|Genelia D'Souza|Prachi Desai|Anupam Kher|Amrita Rao|"
950,"['Comedy', 'Drama']","title: Daddy Cool: Join the Fun
Story: Wealthy Goa-based Income Tax Officer Douglas Lazarus passes away after exercising on his treadmill at a speed of 10.5. A funeral is arranged  relatives are notified  and his eldest hen-pecked son  Steven  prepares a farewell speech while most attendees would have preferred the second son  Brian  a successful Mumbai-based writer  to do so. At the funeral  things hilariously spiral out of control when Michael  the fiancé of Douglas' gorgeous niece  Maria  notices movement within the coffin.
Suitable Actors: Sunil Shetty|Aarti Chhabria|Aashish Chaudhary|Kim Sharma|Aftab Shivdasani|Tulip Joshi|Javed Jaffrey|Sophiya Chaudhary|Prem Chopra|Rajpal Yadav|Suhasini Mulay|Vijay Patkar|Nassar Abdulla|Yusuf Hussain|"
951,"['Action', 'Crime', 'Drama']","title: Kisaan
Story: Widower farmer  Dayal Singh  based in Palheri in the District of Chandigarh  witnesses the exploitation of farmers at the hands of Zamindars. He decides to send his elder son  Aman  to the city to study and become a lawyer  while his second son  Jiggar  would live with him and assist him in farming. Years later  the district gets a visit from Sohan Seth  who wants to buy the farm and turn the area into a commercial zone. Aman returns home and is able to join hands with his father and brother in advising the locales against Sohan. Things get out of hand when Jiggar is arrested for Assault  and even though Aman defends him  is sentenced to five years in prison. After his discharge  Jiggar returns home to find his father bed-ridden  half of his body paralyzed  a number of farmers have committed suicide  while Aman  who has married his sweetheart-fellow lawyer  Priya  lives in the city  works for Sohan  and has been putting pressure on Dayal as well as other farmers to sell their ...
Suitable Actors: Jackie Shroff|Sohail Khan|Arbaaz Khan|Nauheed Cyrusi|Dia Mirza|Sharat Saxena|Vishwajeet Pradhan|Dalip Tahil|Sarfaraz Khan|Dwij Yadav|"
952,"['Crime', 'Drama', 'Thriller']","title: Y.M.I. Yeh Mera India
Story: Mumbai 11th July: Sameer Ali reads a verse from the Bhagvad Geeta to a dying hospitalized benevolent Hindu Pandit who had brought him after the passing of his Islamic parents; Looking for employment on an empty stomach  Bhola Paswan finds Biharis are hated and shunned; Gangster Ashfaq asks Noor Ahmed Khan  who  in turn  recruits former Naxalite Raja Shetty  to assassinate womanizing Builder Arun Talreja; An upper-caste Hindu politician  Shripad Shinde  forbids his son  Nachiket  to marry Asha Ambedkar  as she belongs to a lower Caste; Rendered homeless  Inspector Chandrakant Shinde is on the look-out for a stolen vehicle  and hates Biharis for taking over his house; TV Producer  Jennifer Ali  is attacked by Ashfaq during a party; Lower-caste Asha is stalked and molested by right-winged upper-caste Hindus; After being robbed and accused of stealing clothes  Sharada Bai prepares to attack her two-faced employer  Sushma Talreja; Caught in a traffic jam  Judge Ayyar is anxious to visit ...
Suitable Actors: Anupam Kher|Atul Kulkarni|Milind Gunaji|Aakash Pandey|Parvin Dabas|Perizaad Zorabian|Rajit Kapoor|Purab Kohli|Rajpal Yadav|Sarika|Sayaji Shinde|Seema Biswas|Smiley Suri|Vijay Raaz|"
953,"['Comedy', 'Crime', 'Drama']","title: Aagey Se Right
Story: Spurred on by his pushy mother  Kanta  slacker Dinkar Waghmare  infatuated with TV Reporter  Soniya Bhatt  is compelled to join the Mumbai Police Force as a Sub-Inspector and follow in his late father's footsteps. On his way to Mumbai  his service revolver gets stolen by three youth. His hilarious attempts to recover it leads him to assorted characters and situations which include an underground den of organized criminal don Raghav Shetty; the suicidal daughter  Suhasi  of Police Commissioner Digvijay Mathur; an angry resident  Hasmukh Irani  who is threatening to kill the Mayor; a lovelorn terrorist  Balma Rashidul Khairi  who has been sent to plant an explosive in an 1800-plus gathering of Mumbai's police officers.
Suitable Actors: Shreyas Talpade|Mahie Gill|Karan Veer Mehra|Kay Kay Menon|Shiv Panditt|Shenaz Treasury|"
954,"['Comedy', 'Drama']","title: Chintu Ji
Story: Rishi  the son of legendary Raj Kapoor  decides to try his hand at politics  and to garner support  re-locates to his birth village  Hadbahedi. The village is located in an isolated area where most trains do not stop  and electricity is only available for about 6 hours a day. He also decides to shoot a film 'Khooni Khazana' with Producer/Director  Malkani. Once there  he secretly makes a deal to lend his name to an alcoholic beverage  in exchange for a plot of land in nearby Triphala  and one Crore Rupees  while pledging to the naive villagers that he has no intention to re-locating anywhere. Misled villagers believe Hadbahedi will get popular and modernized  and decide to assist him with all their might. Things escalate into chaos  and anger  when they find out that their valuables are being stolen  and the women being molested  by the film crew  while the police accuse them of harboring a terrorist who was responsible for the December 13  2001  attack on the Indian Parliament.
Suitable Actors: Rishi Kapoor|Priyanshu Chatterjee|Kulraj Randhawa|Saurabh Shukla|Grusha Kapoor|"
955,"['Action', 'Comedy', 'Drama']","title: Quick Gun Murugun: Misadventures of an Indian Cowboy
Story: Quick Gun Murugun is a western spoof with attitude  featuring outlandish songs  outrageous melodrama and crazy action sequences including a classic duel in a traffic jam. The film tells the story of Quick Gun Murugun - a South Indian karmic cowboy whose duty is to protect and cows. When faced with a world-conquering arch villain restaurant owner who wants to create the ultimate McDosa chain using beef  Quick Gun enters into an epic battle of vegetarianism vs. non-vegetarianism that spans time and space  from a small South Indian village to an Indian heaven and then finally to a cosmopolitan Mumbai across 15 years.
Suitable Actors: Rajendra Prasad|Nassar|Rambha|Raju Sundaram|Vinay Pathak|Ashwin Mushran|Sandhya Mridul|Ranvir Shorey|"
956,"['Crime', 'Drama', 'Mystery']","title: Fox
Story: Mumbai-based Advocate Arjun Kapoor decides to abandon the defense of accused Raj Thakur after witnessing the anguish of the victim's parents. He is subsequently charged with Contempt of Court  and disbarred from practicing law. Disillusioned  he re-locates to Goa and meets with McNamara  who gives him a book titled 'Fix the Fox'. Arjun reads the book  is very impressed  compliments the former  and is invited for lunch. When he does get there  he is told by Constable Gaitonde that McNamara is no more. Arjun then meets with Sophia  publishes the book under his very own name  it becomes a bestseller  and he a celebrity. Shortly thereafter  his life will be turned upside down when he will be interrogated and arrested by Goa Crime Branch Inspector Yashwant Deshmukh for killing five individuals.
Suitable Actors: Arjun Rampal|Sunny Deol|Udita Goswami|Sagarika Ghatge|Vipul Gupta|"
957,"['Action', 'Crime', 'Drama']","title: Baabarr
Story: Born in violent Amanganj  Uttar Pradesh  Mohammad Baabarr Qureshi watches his eldest brother go to jail for killing Kale Pahelwan. He watches and learns from his other brothers  seriously injures another boy  and after acquiring a gun  kills the boy's father. He grows up to be a much-feared gangster in an area where the police themselves fear to venture. While S.P. Mrityujain Dwivedi would like to arrest him  he holds back and instead encourages Baabarr's rival  Tabrez Alam  to gain more ground and enter into an open conflict with the former. Things escalate to such an extent that Baabarr is forced to flee to his wife  Afreen  in Kolkata  where he is eventually traced and brought before the courts. This is where the Uttar Pradesh police will experience frustration when the court holds Baabarr in judicial custody forbidding the police to even lay a hand on him. With over 200 incidents  virtually no witnesses nor evidence to tie him to any crime  it does look as if Baabaar  who has ...
Suitable Actors: Mithun Chakraborty|Om Puri|Sohum Shah|Urvashi Sharma|Kasish Khan|Sushant Singh|Shakti Kapoor|Tinnu Anand|Mukesh Tiwari|Govind Namdeo|Vivek Shauq|Vishwajeet Pradhan|Kannaan Arun Iyer|Pratima Kazmi|"
958,"['Drama', 'Romance']","title: Phir Kabhi
Story: Hari Singh has been married to Lakshmi for about 40 years  is the father of a male child  who is employed in America  while his wife  Divya  and daughter  Sonia  live with them in a very harmonious relationship. Then Lakshmi suddenly passes away  leaving Hari alone and vulnerable. He gets close to his grand-daughter  and starts visiting his school-mates. It is then Divya concludes that Hari may not be a good influence over her daughter  after she finds out that he has not only fallen in love  but is also visiting on the sly  as well as exchanging love letters with a woman named Ganga.
Suitable Actors: Mithun Chakraborty|Dimple Kapadia|Kaivalya Chheda|Gulshan Grover|Surendra Rajan|Rimoh Chakraborty|Rati Agnihotri|"
959,['Drama'],"title: Vaada Raha... I Promise
Story: After receiving a generous grant from the American Medical Association to find a cure for cancer  Dr. Dyanesh Kripal Chawla  who always gives hope to his patients  proposes to his sweetheart  Pooja  and both arrange to get married soon. While returning home that night  he meets with an accident and wakes up in the East West Hospital paralyzed from the neck down with virtually no chance of recovery. Shattered and devastated  he is in for more trauma and shock when he finds out that Pooja will have nothing to do with him anymore. Upset  bitter and in despair  he loses his will to live  refuses to take medicine nor any treatment  and awaits death.
Suitable Actors: Bobby Deol|Dwij Yadav|Kangana Ranaut|Mohnish Bahl|"
960,"['Comedy', 'Drama', 'Sport']","title: Dil Bole Hadippa!
Story: Veera (Rani Mukerji) is a fire-cracker of a girl who lives in a small village but dreams in 70mm. She works in a local theatre group but dreams of playing cricket in the big league. Yes  believe it or not  she wants to play with Tendulkar and Dhoni for India. While Veera dreams on in India  Rohan (Shahid Kapoor) is an accomplished captain of a county cricket team in England. Rohan returns to India to captain his fathers cricket team which has been losing consecutively for the last 8 years. In a village where girls don't play cricket  Veera has to put on a turban and beard and become a man to fulfill her dreams. Her brilliance on the field earns her a place in Rohans team and Veera Kaur becomes Veer Pratap Singh. And then begins a roller-coaster journey of Veera  Rohan and Veer filled with colour  vibrant music  romance and comedy through Punjab and beyond. This tale of turbans  twists and tricks will make your heart go Hadippa.
Suitable Actors: Shahid Kapoor|Rani Mukerji|Anupam Kher|Dalip Tahil|Rakhi Sawant|Sherlyn Chopra|Shri Vallabh Vyas|Vrajesh Hirjee|Poonam Dhillon|Shonali Nagrani|Karan Veer|Bobby Bedii|Vickeey Ahhuja|Sherry Rekhi|"
961,"['Comedy', 'Drama', 'Romance']","title: What's Your Raashee?
Story: What's Your Raashee? Yogesh Patel  a young man in a hurry. Yogesh must find his dream girl within 10 days to save his family from utter ruin. Finding the dream girl is tough enough. Finding her in a hurry is even tougher.
Suitable Actors: Harman Baweja|Priyanka Chopra|Anjan Srivastav|Manju Singh|Dilip Joshi|Ajeeta Kulkarni|Vishwa Mohan Badola|Darshan Jariwala|Bhairavi|Geeta Tyagi|Rajesh Vivek|Yuri Suri|Daya Shankar Pandey|Marcell Dsouza|"
962,"['Action', 'Crime', 'Mystery']","title: Acid Factory
Story: Cape Town Police's Assistant Commissioner Ranbir Singh travels to Durban to meet with undercover Agent Romeo and assigns him a special task. Shortly thereafter Romeo is attacked  loses his consciousness and when he regains it  finds himself trapped in an acid factory along with four other males. One of the males is tied to a chair  while another is handcuffed. All of them soon realize that due to the presence of Pentane - a gas that induces memory loss - they are not even able to remember their names. They do manage to gain each other trusts' and even release their two comrades. While they discuss their situation  they are confronted by an unknown gun-toting female  also suffering from memory loss  and soon realize that two of them are actually abducted and are being held for ransom by the other three.
Suitable Actors: Fardeen Khan|Dia Mirza|Manoj Bajpayee|Aftab Shivdasani|Dino Morea|Danny Denzongpa|Gulshan Grover|Irrfan Khan|"
963,"['Action', 'Comedy', 'Drama']","title: All the Best: Fun Begins
Story: Veer Kapoor lives in a palatial bungalow in Goa along with his girlfriend  Vidya  and a maid  Mary. Every month he gets an allowance of Rs. 1 Lakh from his NRI brother  Dharam  which he uses to fund his band  as well as the dilapidated Gym of his friends  Prem and Jhanvi Chopra. Veer's life undergoes many hilarious changes after he decides to borrow money from a gangster called Tobu in order to bet on his friend  Prem  taking part in a car race. After Tobu applies pressure  Veer desperately rents the bungalow to a Zee Super Lottery Winner  Raghuvandas Goverdhandas Vakawale - but even more chaos and complications arise with the unexpected arrival of Dharam.
Suitable Actors: Sanjay Dutt|Ajay Devgn|Fardeen Khan|Bipasha Basu|Mugdha Godse|Ashwini Kalsekar|Mukesh Tiwari|Johnny Lever|Asrani|"
964,"['Comedy', 'Drama', 'Romance']","title: Wake Up Sid
Story: In Mumbai  Sid Mehra is  in the words of his father  an arrogant  spoiled brat. He lives with a doting mother  subservient brother  and a father who covers his expenses and credit card bills. Sid takes his college finals then starts work at his father's business; he lasts less than a week before walking out. At a graduation party  he meets Aisha  newly arrived from Calcutta and set on becoming a writer. He shows her the city and helps her refurbish a rented flat. He asks if she'd like to progress from friend to something more  but she says no: he lacks ambition and isn't her type. Will her words  his exam results  a confrontation with his parents  and a break with his friends be enough to wake Sid up?
Suitable Actors: Ranbir Kapoor|Konkona Sen Sharma|Supriya Pathak|Anupam Kher|Rahul Khanna|Kashmira Shah|Namit Das|Shikha Talsania|Shruti Bapna|Krutika Bolaki|Mohsin Ali Khan|Munir Kabani|Atisha Naik|Rahul Pendkalkar|"
965,"['Comedy', 'Drama', 'Romance']","title: Main Aurr Mrs Khanna
Story: Melbourne-based Samir Khanna meets with an orphan  Raina  both fall in love  get married  and live harmoniously until Samir loses his job. Differences crop up between the two so much so that when Samir asks her to live with his Delhi-based parents  she refuses and stays on in Melbourne  while he re-locates to Singapore. He does fairly well financially and returns back home - only to find that Raina is about to get married to an Airport Cafe employee by the name of Aakash.
Suitable Actors: Salman Khan|Kareena Kapoor|Sohail Khan|Preity Zinta|Bappi Lahiri|Yash Tonk|Nauheed Cyrusi|Mahek Chahal|"
966,"['Action', 'Adventure', 'Thriller']","title: Blue
Story: Bangkok-based bike-racer Sameer Singh gets in debt with Gulshan  and flees to the Bahamas to live with his brother  Sagar  and his live-in girlfriend  Mona. But Gulshan catches up with him  allegedly kills Nikki  who Sameer loves  and forcibly abducts Mona. In order to return the money  the duo  along with Aarav Malhotra  decide to scour the bottom of the ocean for a ship 'Lady in Blue' that was sunk on purpose in July 1949. This ship contains treasure that was being returned by the tyrannical British as a goodwill gesture. The trio will soon find that unknown dangers await them and that one of them has a hidden agenda of his own.
Suitable Actors: Akshay Kumar|Sanjay Dutt|Lara Dutta|Zayed Khan|Rahul Dev|"
968,"['Comedy', 'Crime', 'Drama']","title: Fruit & Nut
Story: Eccentric  badly in debt  Mumbai Municipal employee  Jolly Maker  is infatuated with Monica Gokhale  a member of the Mumbai Heritage Society. He gets his chance to prove his worth when he hears that she has been abducted mysteriously through a flush of the Municipality's toilet. He does rescue her inadvertently  becomes a hero overnight. But the tables get turned when both of them  along with her dad  Madhav  get abducted and are fated to die in a diabolical game of 'Kaun Banega Swargwasi'.
Suitable Actors: Atmaram Bhende|Cyrus Broacha|Anisha Hinduja|Boman Irani|Rajit Kapoor|Suhaas Khandke|Mahesh Manjrekar|Anil Mhatre|Dia Mirza|Shaiju Nambiadath|Kishore Nandlaskar|Sachin Nayak|Bachan Pachehra|Vijay Patkar|"
969,"['Action', 'Adventure', 'Fantasy']","title: Aladin
Story: Based in the municipality of Khwaish  abused by his classmates  Aladin Chatterjee  who was orphaned when his parents  Arun and Riya  died in an accident in Siachen Valley  lived with his paternal grandfather until the later's passing. Now alone  grown up  studying in Khwaish University  and still being abused by fellow-college mates  he finds himself smitten by the lovely US Exchange Student  Jasmine. Unable to express his feelings for her  he rubs a lamp that was gifted to him on his birthday  which summons a genie named Genius. He gets 3 wishes  but wastes 2 of them  but on the 3rd one he insists that Genius assist him to win Jasmine's heart without any magical tricks. Hilarious chaos results when everything seems to fail; while an immortal and deadly entity  Ringmaster  and his hordes  prepares to confront Genius and Aladin so that he can acquire even more magical powers with the help of the lamp on the day of the sighting of a rare comet; and the truth behind the death of Aladin's...
Suitable Actors: Amitabh Bachchan|Sanjay Dutt|Riteish Deshmukh|Jacqueline Fernandez|Sahil Khan|"
